,Facility Name,Type,Health Facility Code,Classification,Street Name and #,Zip Code,Region,Province,City/Municipality,Barangay Name,Landline Number,lon,lat
613,WELFAREVILLE HEALTH CENTER (MAIN),Rural Health Unit,4416.0,Government,BLOCK 13 WELFAREVILLE COMPOUND,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,ADDITION HILLS,,121.0385269,14.5938309
614,PULANG LUPA I HEALTH CENTER,Rural Health Unit,4435.0,Government,FRUTO SANTOS AVENUE CORNER NAGA ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PULANG LUPA UNO,+63 028467604,0.0,0.0
615,SOUTH SUPERHIGHWAY MEDICAL CENTER,Hospital,4437.0,Private,"KM. 17, WEST SERVICE ROAD, SOUTH SUPER HIGHWAY",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,MARCELO GREEN VILLAGE,+63 028218452,0.0,0.0
616,SANTO NIÑO HEALTH CENTER,Rural Health Unit,4440.0,Government,B. SANTOS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,SANTO NI??O,,121.0971855,14.6406507
617,MERCEDES DE JOYA HEALTH CENTER,Rural Health Unit,4457.0,Government,DAPITAN STREET CORNER MAYON STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SANTA TERESITA,,120.9997247,14.6220329
618,"SAN LORENZO HOSPITAL HEALTH MANAGEMENT CO., INC.",Hospital,4475.0,Private,QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PASONG PUTIK PROPER (PASONG PUTIK),+63 029396042,121.0496349,14.7212565
619,ARMY GENERAL HOSPITAL,Hospital,4489.0,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,FORT BONIFACIO,,121.0503183,14.5408671
620,QUEZON INSTITUTE,Hospital,4499.0,Private,E. RODRIGUEZ SR. BOULEVARD,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SANTOL,+63 027813761,121.0118714,14.6186497
621,LEVERIZA HEALTH CENTER,Rural Health Unit,4500.0,Government,LEVERIZA STREET CORNER GIL PUYAT AVENUE,1300.0,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 23,+63 025265517,120.9945147,14.553661
622,"CAPITOL MEDICAL CENTER, INC.",Hospital,4515.0,Private,SCOUT MAGBANUA CORNER PANAY AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PALIGSAHAN,+63 023723825,121.0232748,14.6339149
623,MARIKINA HEIGHTS HEALTH CENTER,Rural Health Unit,4523.0,Government,"CAMPAGNAT STREET, COR EAST DRIVE ST.",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,MARIKINA HEIGHTS (CONCEPCION),+63 029346063,121.1140247,14.6687369
624,CENTRAL BICUTAN HEALTH CENTER OSANO,Rural Health Unit,4530.0,Government,PHASE 1,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,CENTRAL BICUTAN,,121.0458528,14.5140332
625,DR. E. ZARATE GENERAL HOSPITAL,Hospital,4579.0,Private,BLOCK 5 LOT 5 CRYSTAL STREET GOLDEN ACRES SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,TALON SINGKO,+63 028060039,0.0,0.0
626,"P. GONZALES MEMORIAL HOSPITAL, INC.",Hospital,4582.0,Private,582 J.P. RIZAL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,MALANDAY,+63 029337231,121.0943144,14.637021
627,SANGANDAAN HEALTH CENTER,Rural Health Unit,4617.0,Government,"PREMIUM STREET, GSIS VILLAGE",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SANGANDAAN,,121.0206086,14.6734447
628,AFP MEDICAL CENTER,Hospital,4639.0,Government,V. LUNA ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PINYAHAN,+63 029211753,121.0505583,14.6370921
629,NEW BILIBID PRISON HOSPITAL,Hospital,4643.0,Government,BUREAU OF CORRECTION,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,POBLACION,+63 028500140,121.0290335,14.3854118
630,SANTA ANA HEALTH CENTER,Rural Health Unit,4652.0,Government,BONIFACIO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,SANTA ANA,,121.049811,14.4993778
631,WEST REMBO HEALTH CENTER,Rural Health Unit,4661.0,Government,J.P. RIZAL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,WEST REMBO,+63 027525507,121.0632755,14.5393923
632,BARANGKA IBABA HEALTH CENTER,Rural Health Unit,4687.0,Government,P. OLIVEROS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,BARANGKA IBABA,+63 025333087,121.0385269,14.5692613
633,BUAYANG BATO HEALTH CENTER,Rural Health Unit,4688.0,Government,PIONEER STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,BUAYANG BATO,,121.0510074,14.570825
634,HIGHWAY HILLS HEALTH CENTER,Rural Health Unit,4689.0,Government,34 MARIVELES STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,HIGHWAY HILLS,,121.047902,14.580807
635,ALABANG MEDICAL CLINIC,Hospital,4702.0,Private,297 T. MONTILLANO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,ALABANG,+63 028420684,121.049902,14.418935
636,ACEBEDO GENERAL HOSPITAL,Hospital,4706.0,Private,"849 GEN. LUIS STREET, BAGBAGUIN",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,,+63 029835363,0.0,0.0
637,GAT ANDRES BONIFACIO MEMORIAL MEDICAL CENTER,Hospital,4708.0,Government,DELPAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 12,+63 022454366,120.9648175,14.6002773
638,SAN DIONISIO HEALTH CENTER,Rural Health Unit,4710.0,Government,TRAMO STREET CORNER KABIHASNAN ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,SAN DIONISIO,+63 028209269,0.0,0.0
639,CAA-A HEALTH CENTER,Rural Health Unit,4711.0,Government,SAGING STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,B. F. INTERNATIONAL VILLAGE,+63 028202811,0.0,0.0
640,MOONWALK HEALTH CENTER,Rural Health Unit,4735.0,Government,"SAINT FRANCIS STREET, SAN AGUSTIN VILLAGE",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,MOONWALK,+63 028224815,0.0,0.0
641,VITALEZ HEALTH CENTER,Rural Health Unit,4750.0,Government,JAIME STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,VITALEZ,+63 028545016,0.0,0.0
642,KABAYANAN PUERICULTURE FAMILY PLANNING CENTER,Rural Health Unit,4762.0,Government,F. BLUMENTRITT STREET,1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,KABAYANAN,,120.998178,14.6190429
643,OVERSEAS CONTRACT WORKERS GENERAL HOSPITAL,Hospital,4796.0,Private,39 TANDANG SORA AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,CULIAT,+63 029313529,121.0628569,14.6661907
644,SAN LAZARO HOSPITAL,Hospital,4799.0,Government,QUIRICADA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA CRUZ,BARANGAY 331,+63 027116120,120.9816131,14.613214
645,STA. RITA DE BACLARAN HOSPITAL,Hospital,4803.0,Private,97 G. CRUZ STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,BACLARAN,+63 028317005,0.0,0.0
646,ARSENIO H. LACSON HEALTH CENTER,Rural Health Unit,4806.0,Government,PLAZA HUGO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA ANA,BARANGAY 884,+63 025634257,121.0152326,14.5807562
647,E. RODRIGUEZ HEALTH CENTER,Rural Health Unit,4807.0,Government,VIOLET ST. 11TH AVE. GRACE PARK,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 93,,120.9908585,14.6522606
648,PINEDA HEALTH CENTER,Rural Health Unit,4889.0,Government,"BANAAG STREET, PUROK 3",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,PINEDA,+63 026319364,121.063608,14.5636463
649,EXCELLENT COMMUNITY CARE CENTER,Hospital,4927.0,Private,141 ROOSEVELT AVE.,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PARAISO,+63 023746200,121.0168016,14.6391731
650,KALAWAAN HEALTH CENTER,Rural Health Unit,4954.0,Government,CAPTAIN SIXTO CUEVAS RESETTLEMENT,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,KALAWAAN,+63 026425648,121.086626,14.5487915
651,AMPARO HEALTH CENTER,Rural Health Unit,4976.0,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 179,,121.0765048,14.7544908
652,CAA-C HEALTH CENTER,Rural Health Unit,4977.0,Government,MALUNGGAY ST.,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,B. F. INTERNATIONAL VILLAGE,+63 025480299,0.0,0.0
653,PIO DEL PILAR PUERICULTURE CENTER,Rural Health Unit,5021.0,Government,"SANTUICO STREET, PIO DEL PILAR",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,PIO DEL PILAR,+63 027500330,121.0122309,14.5551285
654,A. ZARATE GENERAL HOSPITAL,Hospital,5026.0,Private,ATLAS COMPOUND NAGA ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PULANG LUPA UNO,+63 028746903,0.0,0.0
655,UP - PHILIPPINE GENERAL HOSPITAL,Hospital,5032.0,Government,TAFT AVENUE,1000.0,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",ERMITA,,+63 025548400,0.0,0.0
656,NORTH CALOOCAN DOCTORS HOSPITAL,Hospital,5050.0,Private,LOT 31 BLOCK 10 BANKERS VILLAGE 2 QUIRINO HI-WAY,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 184,+63 029615213,121.0815198,14.769928
657,BATASAN HILLS SUPER HEALTH CENTER,Rural Health Unit,5074.0,Government,"2ND FLOOR, IBP ROAD CORNER COMMONWEALTH AVENUE",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BATASAN HILLS,,121.0870702,14.686864
658,GALAS HEALTH CENTER,Rural Health Unit,5075.0,Government,46 BAYANI STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SAN ISIDRO,,0.0,0.0
659,MARTINEZ MEMORIAL HOSPITAL,Hospital,5081.0,Private,198 A. MABINI STREET MAYPAJO,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 32,+63 022888661,120.9749669,14.6440745
660,SAN JUAN DE DIOS EDUCATIONAL FOUNDATION INC.,Hospital,5084.0,Private,2772 ROXAS BOULEVARD,1300.0,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 76,+63 028319731,120.9939055,14.5439451
661,BAGONG BARRIO ZONE I HEALTH CENTER,Rural Health Unit,5087.0,Government,MALOLOS AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 143,,120.9965504,14.6646032
662,BAGONG BARANGAY HEALTH CENTER,Rural Health Unit,5088.0,Government,WEST ZAMORA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",PANDACAN,BARANGAY 842,+63 025630194,121.0005459,14.585226
663,PUTATAN HEALTH CENTER (BAGONG LIPUNAN),Rural Health Unit,5090.0,Government,"HEALTH CENTER COMPLEX, NATIONAL ROAD CORNER BLISS",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,PUTATAN,,121.0363768,14.3983677
664,THE MEDICAL CITY,Hospital,5104.0,Private,ORTIGAS AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,UGONG,+63 029881000,121.0768376,14.5897041
665,WORLD CITI MEDICAL CENTER,Hospital,5107.0,Private,960 AURORA BOULEVARD,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAGUMBUHAY,+63 029909262,121.063374,14.627197
666,BALANGKAS HEALTH CENTER,Rural Health Unit,5109.0,Government,SAMPAGUITA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,BALANGKAS,+63 024449226,120.9730449,14.6799297
667,STA. TERESITA GENERAL HOSPITAL,Hospital,5126.0,Private,100 D. TUAZON STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SANTA TERESITA,+63 027319803,120.9655157,14.6085994
668,ISIDRO MENDOZA HEALTH CENTER,Rural Health Unit,5128.0,Government,2158 JESUS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",PANDACAN,BARANGAY 848,+63 025633273,121.00472,14.592328
669,PASAY CITY HEALTH OFFICE,Rural Health Unit,5130.0,Government,F.B. HARRISON STREET,1300.0,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 70,+63 028318201,120.9931773,14.5487348
670,CUPANG HEALTH CENTER,Rural Health Unit,5149.0,Government,PUROK 5,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,CUPANG,+63 028503367,121.0494497,14.4132589
671,GOLDEN ACRES HEALTH CENTER,Rural Health Unit,5164.0,Government,MARCOS ALVAREZ AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,TALON UNO,+63 028011868,0.0,0.0
672,CALAANAN HEALTH CENTER,Rural Health Unit,5172.0,Government,113 NADURATA STREET CORNER 7TH AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 57,,120.9786009,14.6475467
673,TONDO FORESHORE HEALTH CENTER,Rural Health Unit,5173.0,Government,PACHECO STREET CORNER SANTA FE,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,,+63 022545760,0.0,0.0
674,A.A. ZAPA HEALTH CENTER,Rural Health Unit,5181.0,Government,21 J.P. RIZAL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 34,,120.9733611,14.6380922
675,PACO HEALTH CENTER,Rural Health Unit,5183.0,Government,1427 PRES. QUIRINO AVENUE EXENSION,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",PACO,BARANGAY 682,+63 025632321,120.9980279,14.5806886
676,NAGPAYONG SUPER HEALTH CENTER,Rural Health Unit,5193.0,Government,ELIAS STREET CENTENNIAL II NAGPAYONG,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,PINAGBUHATAN,,121.0977006,14.549724
677,ST. VINCENT HOSPITAL,Hospital,5205.0,Private,35 BAYAN-BAYANAN AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,CONCEPCION UNO,+63 029417320,121.1069346,14.6505981
678,I. LOPEZ HEALTH CENTER,Rural Health Unit,5206.0,Government,M. GONZAGA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,HAGDANG BATO ITAAS,,121.0305365,14.5897313
679,BO. OBRERO HEALTH CENTER,Rural Health Unit,5236.0,Government,3216 NARRA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 199,+63 023655236,120.9791609,14.6352965
680,TATALON HEALTH CENTER,Rural Health Unit,5247.0,Government,33 VICTORY AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,TATALON,+63 027326283,121.0142954,14.6211207
681,MASAMBONG HEALTH CENTER,Rural Health Unit,5248.0,Government,8 MALAC STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,MASAMBONG,,121.011584,14.640704
682,TALIPAPA HEALTH CENTER,Rural Health Unit,5258.0,Government,"BAYABAS STREET, ROAD 8, GSIS TALIPAPA",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 164,,121.0177415,14.6893997
683,ROSARIO REYES HEALTH CENTER,Rural Health Unit,5279.0,Government,627 SAN ANDRES,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",MALATE,,+63 025597798,0.0,0.0
684,"THE FAMILY CLINIC, INC.",Hospital,5281.0,Private,1474 MARIA CLARA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,,+63 027312901,120.9930266,14.619871
685,VALENZUELA HEALTH CENTER,Rural Health Unit,5290.0,Government,1695 BALER STREET CORNER PILILIA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,VALENZUELA,+63 028995631,121.0241925,14.571361
686,KAPASIGAN HEALTH CENTER,Rural Health Unit,5301.0,Government,1 DR. PILAPIL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,KAPASIGAN,+63 025656642,121.0762296,14.564493
687,MANILA NAVAL HOSPITAL,Hospital,5304.0,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,FORT BONIFACIO,,121.0503183,14.5408671
688,ANN FRANCIS MOTHER AND CHILD HOSPITAL,Hospital,5316.0,Private,606 QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAGBAG,+63 029389424,121.0178834,14.6788782
689,ZANIGA HEALTH CENTER,Rural Health Unit,5317.0,Government,LERMA STREET CORNER J. VICENCIO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,NEW ZA??IGA,,121.0359174,14.5794443
690,TAMBO HEALTH CENTER (ADELINA RODRIGUEZ),Rural Health Unit,5322.0,Government,QUIRINO AVENUE CORNER J. GABRIEL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,TAMBO,+63 028530713,0.0,0.0
691,COLOONG HEALTH CENTER,Rural Health Unit,5323.0,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,COLOONG,+63 024433914,120.9452758,14.7256728
692,BERNABE HEALTH CENTER,Rural Health Unit,5326.0,Government,BERNABE COMPOUND,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PULANG LUPA UNO,+63 024786318,0.0,0.0
693,MALANDAY HEALTH CENTER,Rural Health Unit,5330.0,Government,"MULTI PURPOSE BUILDING, BULELAK STREET",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,MALANDAY,,121.0978656,14.6499081
694,BACOOD HEALTH CENTER,Rural Health Unit,5338.0,Government,DALISAY CORNER LAKAS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA ANA,BARANGAY 803,+63 027146869,121.0008955,14.572508
695,BAGBAG HEALTH CENTER,Rural Health Unit,5339.0,Government,18 PAROKYA NG PAGKABUHAY ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAGBAG,,121.0310552,14.6965445
696,PEDRO GIL HEALTH CENTER,Rural Health Unit,5342.0,Government,"1423 A. FRANCISCO CORNER PERLITA STREET, SAN ANDRES, BUKID",,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA ANA,BARANGAY 803,+63 025637866,121.0008955,14.572508
697,LUPANG PANGAKO HEALTH CENTER,Rural Health Unit,5357.0,Government,"PHASE 1, LUPANG PANGAKO",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PAYATAS,,121.09935,14.7091169
698,PLEASANT HILLS HEALTH CENTER AND LYING IN CLINIC,Rural Health Unit,5367.0,Government,PHOENIX COMPOUND NUEVE DE PEBRERO CORNER T. EVANGELISTA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,PLEASANT HILLS,,121.0413936,14.5882374
699,OLD BALARA HEALTH CENTER,Rural Health Unit,5406.0,Government,182 TANDANG SORA AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,MATANDANG BALARA,+63 029310314,121.0627109,14.6662724
700,POBLACION HEALTH CENTER,Rural Health Unit,5407.0,Government,A. MABINI STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,POBLACION,+63 028995014,121.0313318,14.5688163
701,SILVERIO HEALTH CENTER,Barangay Health Station,5442.0,Government,"PUROK 4, SILVERIO COMPOUND",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,SAN ISIDRO,,0.0,0.0
702,SAN PABLO HEALTH CENTER,Rural Health Unit,5456.0,Government,SAINT PETER STREET MARICABAN,1300.0,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 179,+63 028540684,0.0,0.0
703,"SDS MEDICAL CENTER, INC.",Hospital,5470.0,Private,KATIPUNAN COR. PIO DEL PILAR,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,CONCEPCION DOS,+63 029331405,121.1096096,14.6391962
704,SOCCORRO HEALTH CENTER,Rural Health Unit,5472.0,Government,15TH AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SOCORRO,,121.0601726,14.6188239
705,OUR LADY OF GRACE HOSPITAL,Hospital,5484.0,Private,"8TH AVENUE, CORNER F. ROXAS STREET GRACE PARK",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 61,+63 023611124,120.9815405,14.6488464
706,BERNARDINO GENERAL HOSPITAL CORPORATION I,Hospital,5521.0,Private,680 QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SAN BARTOLOME,+63 024186711,121.0317562,14.6953309
707,MARCELO GREEN HEALTH CENTER,Rural Health Unit,5559.0,Government,MARCELO GREEN AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,MARCELO GREEN VILLAGE,+63 028241998,0.0,0.0
708,SAN ISIDRO HEALTH CENTER,Rural Health Unit,5582.0,Government,FORD CORNER MARCONI STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,SAN ISIDRO,+63 028876305,121.000397,14.555763
709,BAGUMBAYAN HEALTH CENTER,Rural Health Unit,5601.0,Government,MANUEL L. QUEZON STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,BAGUMBAYAN,,121.0550093,14.4770279
710,E. RODRIGUEZ HEALTH CENTER,Rural Health Unit,5625.0,Government,150 PAJO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,QUIRINO 2-B,+63 029212748,121.0614584,14.6331408
711,UNIVERSITY OF THE EAST RAMON MAGSAYSAY MEMORIAL MEDICAL CENTER INC.,Hospital,5683.0,Private,"AURORA BOULEVARD, DONA IMELDA",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,DO??A IMELDA,+63 027161853,121.0437003,14.6760413
712,SEAMEN'S HOSPITAL,Hospital,5687.0,Private,CABILDO STREET CORNER VICTORIA STREET,1000.0,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",INTRAMUROS,BARANGAY 657,+63 025271116,120.9771906,14.5883885
713,MANDALUYONG CITY MEDICAL CENTER,Hospital,5688.0,Government,BONI AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,PLAINVIEW,,121.0408376,14.575917
